headline,label
"atms to become virtual bank branches, accept deposits with instant credit. close to 14.6 per cent (or 35,000) of the 240,000 atms in india are new-age recyclers, even though they have been around for only .",neutral
"idfc first bank seniors to forgo 65% of bonus amid covid-19 crisis. v vaidyanathan, managing director and chief executive, will take 30 per cent cut in his compensation, including fixed .",negative
"huge scam in yes bank for many years, says enforcement directorate. rana kapoors wife also charged with abetting crime",negative
"bank of maharashtra sanctioned rs 2,789 cr in loans to msmes in 3 months. the bank said it was now gearing up to extend the stimulus package announced by finance minister nirmala sitharaman to restart .",positive
"dcb banks profit before tax declines 37.6% to rs 93.84 crore in q4. net profit for the financial year ended march 31, 2020 (fy20), stood at rs 337.25 crore, up marginally from rs 325.37 crore in .",negative
"bank of baroda to advance rs 12,000 crore to msmes under govt scheme. under the scheme, the government will offer 100 per cent guarantee on loans.",positive
"retail, msme loans to get cheaper as rbi cuts repo rate in surprise action. hdfc bank cuts base rate by 55 bps; sbi calls alco meeting to take call",positive
"rbi forecasts economic contraction, announces a sharp 40-bp rate cut. the six-member mpc also kept policy stance unchanged at accommodative for as long as necessary to revive growth",negative
"rbi extends loan moratorium till aug 31, silent on one-time restructuring. the central bank has increased group exposure limits of lenders from 25% to 30%",neutral
"govt seeks to raise rs 14,000 cr from second tranche of bharat bond etf. two new series will have maturities of april 2025 and april 2031.",positive
"covid-19 crisis: slippages may jump to rs 5.5 trillion, says india ratings. credit costs could touch rs 2.7 trillion",negative
"lockdown 4.0: normalcy returning for shadow lenders, albeit at a slow pace. enquiries for fresh loans see uptick",positive
"covid-19: banking slippages may rise by rs 5.5 trn this fiscal, says report. while slippages from the corporate sector may rise by rs 3.4 trillion, for non-corporate segments it may increase by rs 2.1 .",positive
"fm sitharaman to review banking situation, credit offtake with psb chiefs. the meeting was earlier scheduled on may 11, but due to the stimulus package announcements, it was deferred, they added",neutral
"it will be a long road to recovery from covid-19: axis bank chief. in a q&a, the lenders md & ceo, amitabh chaudhry, also dwells on the stimulus package announced by the government, and risk .",neutral
bank credit growth slowed in dec quarter on muted industrial demand. loans sanctioned by public sector banks (psbs) at the end of may 8 stood at rs 5.95 trillion,negative
"covid-19 crisis: banks seek relaxed npa norms, moratorium extension. senior bank executives said the indian banks association (iba) has already approached the reserve bank of india with a plea for .",negative
it may be time to change the way ucbs and nbfcs raise retail deposits. it may be time to link the higher deposit insurance cover and the way co-operative banks and select non-banks raise retail .,neutral
govt to use rbi money to support struggling nbfcs for just three months. nbfcs cry foul as they were expecting a two-three year support,neutral
"rbi may need to slash rates alongside providing fiscal stimulus: economists. the only way to boost demand may be lowering interest rates to boost consumption, analysts said",negative
"rbi refuses a dozen licences to nbfcs with investments from mauritius. pe, vc funds domiciled in the island nation on the radar",negative
"psbs report sharp rise in deposits thanks to yes bank, franklin fiasco. last financial year saw a series of banks failures starting with punjab & maharashtra co-operative bank and culminated in near .",positive
"moratorium to strain nbfc liquidity even further, bad debts to rise. these firms operate with very little short-term liquidity, which can become even more strained as customers start defaulting even .",negative
psbs sanctioned loans worth rs 6.45 trn in lockdown between mar 1-may 15. state-owned banks launched an emergency credit line to provide funds to its existing msme and corporate borrowers in the last .,neutral
"all for liquidity: watch every rupee, chase dues, and refinance debt. refinancing high-cost debt into low-cost debt is possible, thanks to the rbis tltros",neutral
reserve bank makes $21-billion cut to us treasury holdings in march. central bank does huge omo silently to control domestic bond yields,negative
"stimulus 2.0: banks will monitor solvency, guarantees cool credit risk fear. while the issue of providing liquidity to existing borrowers who are sapped of revenues has been addressed, banks will have to .",positive
"equitas sfb posts 8.4% rise in fy20 pre-tax profit, income up 22%. bank has made a provision of rs 99.63 cr for the period ended march 31, 2020, based on assessment of recoverability of advances",positive
rbi googly on adherence to new press note 3 norms puts aifs in a bind. raises doubts over drawing down capital from chinese lps,negative
"nbfc yields yet to show contraction in spreads after govt measures. experts believe spreads will contract as the credit lines start getting utilised, and banks regain confidence about nbfc papers .",negative
"sitharaman gives liquidity boost of rs 75,000 cr to shadow banks, mfis. sitharaman announced a special liquidity scheme of rs 30,000 crore for nbfcs, housing finance companies (hfcs) and mfis, which .",positive
"kotak bank profit before tax slips 10.6% at rs 2,674 cr for march 2020 qtr. profit down due to covid provisioning and lower other income",negative
"differentiated bank holdco norms on cards; bandhan, idfc first may benefit. lenders that do not have subsidiaries in insurance, asset management, and broking may be exempt from having a non-operative .",neutral
"bad bank may start with rs 60k-crore npas; govt may put in rs 10k crore. banking lobby group indian banks association (iba) is expected to take the proposal, which is on the lines of the sashakt panel .",neutral
"some msmes may need deep restructuring, not just liquidity: union bank. bank chief rajkiran rai says iba has taken up the issue of restructuring with rbi",neutral
"iba considering proposal to set up amc and aif, takeover npas from psbs. the coronavirus pandemic is expected to result in a rise in non-performing assets (npas) despite relief measures",neutral
"not offering any emergency loan through yono platform, clarifies sbi. sbi, however, said it is in the process of introducing a pre-approved personal loan offering through yono to provide relief to .",neutral
"bond yields expected to jump 15-20 bps on govts extra borrowing. the excess borrowing will, however, ease the pressure on the rbis liquidity operation as banks will absorb the excess g-secs",positive
"icici bank pre-tax profit up 82% in q4; provides heavily for covid-19. excluding covid-19 related provisions, the profit after tax of the bank would have been rs 3,260 crore",positive
"rs 411-crore fraud: sbi approaches cbi as three loan defaulters flee india. besides sbi, other members of the consortium that has been cheated are canara bank, union bank of india, idbi, central bank of .",negative
"covid-19 impact: sbi cards pre-tax profit dips 71% to rs 112 cr in q4 fy20. had it not been for covid-19 impact, the company would have reported a sharp 80 per cent year-on-year jump in its pre-tax profit .",negative
